[1;34m[/home/porterlu/ysyx-workbench/myCPU/csrc/img.c:41 load_img] The image is /home/porterlu/ysyx-workbench/am-kernels/tests/cpu-tests/build/recursion-riscv64-npc.bin, size = 688[0m
[1;34m[/home/porterlu/ysyx-workbench/myCPU/csrc/difftest.c:83 init_difftest] Differential testing:[1;32mON[0m[0m
0000000080000000:    00 00 04 13    mv	s0, zero
0000000080000004:    00 00 91 17    auipc	sp, 9
0000000080000008:    ff c1 01 13    addi	sp, sp, -4
000000008000000c:    24 40 00 ef    jal	580
0000000080000250:    ff 01 01 13    addi	sp, sp, -16
0000000080000254:    00 00 05 17    auipc	a0, 0
0000000080000258:    01 c5 05 13    addi	a0, a0, 28
000000008000025c:    00 11 34 23    sd	ra, 8(sp)
0000000080000260:    f6 9f f0 ef    jal	-152
00000000800001c8:    ff 01 01 13    addi	sp, sp, -16
00000000800001cc:    00 00 45 37    lui	a0, 4
00000000800001d0:    00 11 34 23    sd	ra, 8(sp)
00000000800001d4:    00 81 30 23    sd	s0, 0(sp)
00000000800001d8:    00 00 05 93    mv	a1, zero
00000000800001dc:    00 00 07 97    auipc	a5, 0
00000000800001e0:    0a c7 b7 83    ld	a5, 172(a5)
00000000800001e4:    82 35 05 13    addi	a0, a0, -2013
00000000800001e8:    00 07 80 e7    jalr	a5
0000000080000010:    00 00 07 97    auipc	a5, 0
0000000080000014:    29 87 87 93    addi	a5, a5, 664
0000000080000018:    00 07 a7 03    lw	a4, 0(a5)
000000008000001c:    00 b7 54 63    bge	a4, a1, 8
0000000080000024:    00 00 07 17    auipc	a4, 0
0000000080000028:    28 87 07 13    addi	a4, a4, 648
000000008000002c:    00 07 27 83    lw	a5, 0(a4)
0000000080000030:    00 17 87 9b    addiw	a5, a5, 1
0000000080000034:    00 f7 20 23    sw	a5, 0(a4)
0000000080000038:    00 a0 5e 63    blez	a0, 28
000000008000003c:    00 30 07 93    addi	a5, zero, 3
0000000080000040:    02 f5 45 3b    divw	a0, a0, a5
0000000080000044:    00 15 85 9b    addiw	a1, a1, 1
0000000080000048:    00 00 03 17    auipc	t1, 0
000000008000004c:    25 83 33 03    ld	t1, 600(t1)
0000000080000050:    00 03 00 67    jr	t1
0000000080000108:    00 00 07 17    auipc	a4, 0
000000008000010c:    1a 07 07 13    addi	a4, a4, 416
0000000080000110:    00 07 26 83    lw	a3, 0(a4)
0000000080000114:    00 05 07 93    mv	a5, a0
0000000080000118:    00 b6 d4 63    bge	a3, a1, 8
000000008000011c:    00 b7 20 23    sw	a1, 0(a4)
0000000080000120:    00 00 06 97    auipc	a3, 0
0000000080000124:    18 c6 86 93    addi	a3, a3, 396
0000000080000128:    00 06 a7 03    lw	a4, 0(a3)
000000008000012c:    00 10 05 13    addi	a0, zero, 1
0000000080000130:    00 17 07 1b    addiw	a4, a4, 1
0000000080000134:    00 e6 a0 23    sw	a4, 0(a3)
0000000080000138:    06 f0 5a 63    blez	a5, 116
000000008000013c:    fe 01 01 13    addi	sp, sp, -32
0000000080000140:    01 21 30 23    sd	s2, 0(sp)
0000000080000144:    00 00 09 17    auipc	s2, 0
0000000080000148:    14 49 09 13    addi	s2, s2, 324
000000008000014c:    01 09 37 03    ld	a4, 16(s2)
0000000080000150:    00 81 38 23    sd	s0, 16(sp)
0000000080000154:    00 91 34 23    sd	s1, 8(sp)
0000000080000158:    00 15 84 1b    addiw	s0, a1, 1
000000008000015c:    40 17 d4 93    srai	s1, a5, 1
0000000080000160:    00 11 3c 23    sd	ra, 24(sp)
0000000080000164:    00 04 05 93    mv	a1, s0
0000000080000168:    00 04 85 13    mv	a0, s1
000000008000016c:    00 07 00 e7    jalr	a4
00000000800000a4:    00 00 07 17    auipc	a4, 0
00000000800000a8:    20 47 07 13    addi	a4, a4, 516
00000000800000ac:    00 07 26 83    lw	a3, 0(a4)
00000000800000b0:    00 05 07 93    mv	a5, a0
00000000800000b4:    00 b6 d4 63    bge	a3, a1, 8
00000000800000b8:    00 b7 20 23    sw	a1, 0(a4)
00000000800000bc:    00 00 06 97    auipc	a3, 0
00000000800000c0:    1f 06 86 93    addi	a3, a3, 496
00000000800000c4:    00 06 a7 03    lw	a4, 0(a3)
00000000800000c8:    00 10 05 13    addi	a0, zero, 1
00000000800000cc:    00 17 07 1b    addiw	a4, a4, 1
00000000800000d0:    00 e6 a0 23    sw	a4, 0(a3)
00000000800000d4:    02 f0 58 63    blez	a5, 48
00000000800000d8:    ff 01 01 13    addi	sp, sp, -16
00000000800000dc:    00 11 34 23    sd	ra, 8(sp)
00000000800000e0:    00 07 85 13    mv	a0, a5
00000000800000e4:    00 15 85 9b    addiw	a1, a1, 1
00000000800000e8:    00 00 07 97    auipc	a5, 0
00000000800000ec:    1a 87 b7 83    ld	a5, 424(a5)
00000000800000f0:    00 07 80 e7    jalr	a5
000000008000005c:    00 00 07 97    auipc	a5, 0
0000000080000060:    24 c7 87 93    addi	a5, a5, 588
0000000080000064:    00 07 a7 03    lw	a4, 0(a5)
0000000080000068:    00 b7 54 63    bge	a4, a1, 8
000000008000006c:    00 b7 a0 23    sw	a1, 0(a5)
0000000080000070:    00 00 07 17    auipc	a4, 0
0000000080000074:    23 c7 07 13    addi	a4, a4, 572
0000000080000078:    00 07 27 83    lw	a5, 0(a4)
000000008000007c:    00 17 87 9b    addiw	a5, a5, 1
0000000080000080:    00 f7 20 23    sw	a5, 0(a4)
0000000080000084:    00 a0 5c 63    blez	a0, 24
0000000080000088:    00 15 85 9b    addiw	a1, a1, 1
000000008000008c:    ff f5 05 1b    addiw	a0, a0, -1
0000000080000090:    00 00 03 17    auipc	t1, 0
0000000080000094:    1f 83 33 03    ld	t1, 504(t1)
0000000080000098:    00 03 00 67    jr	t1
0000000080000010:    00 00 07 97    auipc	a5, 0
0000000080000014:    29 87 87 93    addi	a5, a5, 664
0000000080000018:    00 07 a7 03    lw	a4, 0(a5)
000000008000001c:    00 b7 54 63    bge	a4, a1, 8
0000000080000020:    00 b7 a0 23    sw	a1, 0(a5)
0000000080000024:    00 00 07 17    auipc	a4, 0
0000000080000028:    28 87 07 13    addi	a4, a4, 648
000000008000002c:    00 07 27 83    lw	a5, 0(a4)
0000000080000030:    00 17 87 9b    addiw	a5, a5, 1
0000000080000034:    00 f7 20 23    sw	a5, 0(a4)
0000000080000038:    00 a0 5e 63    blez	a0, 28
